#n f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
53 303.579784 87.361319 0.018868 7525147601.618924 281218.000000 7.574966 2485.000000 2485.000000 364.005494 297754.000000 19383245667680019885850624.000000 227633266688.000000
54 310.763925 88.181631 0.018519 9326768499.374613 291924.000000 7.647523 2592.000000 2592.000000 367.423461 314928.000000 58149737003040063952519168.000000 231928233984.000000
55 317.974784 88.994382 0.018182 11525578684.136219 302830.000000 7.719425 2701.000000 2701.000000 370.809924 332750.000000 174449211009120166087753728.000000 236223201280.000000
56 325.211876 89.799777 0.017857 14201961903.148504 313936.000000 7.790689 2812.000000 2812.000000 374.165739 351232.000000 523347633027360566982737920.000000 240518168576.000000
57 332.474731 90.598013 0.017544 17451184569.123379 325242.000000 7.861333 2925.000000 2925.000000 377.491722 370386.000000 1570042899082081632228737024.000000 244813135872.000000
58 339.762898 91.389277 0.017241 21385906934.717026 336748.000000 7.931371 3040.000000 3040.000000 380.788655 390224.000000 4710128697246244896686211072.000000 249108103168.000000
59 347.075940 92.173749 0.016949 26139078784.135380 348454.000000 8.000820 3157.000000 3157.000000 384.057287 410758.000000 14130386091738735239814447104.000000 253403070464.000000
60 354.413436 92.951600 0.016667 31867272822.158600 360360.000000 8.069695 3276.000000 3276.000000 387.298335 432000.000000 42391158275216203520420085760.000000 257698037760.000000
61 361.774978 93.722996 0.016393 38754515549.413361 372466.000000 8.138010 3397.000000 3397.000000 390.512484 453962.000000 127173474825648601765167235072.000000 261993005056.000000
62 369.160171 94.488094 0.016129 47016682754.831543 384772.000000 8.205778 3520.000000 3520.000000 393.700394 476656.000000 381520424476945858072059838464.000000 266287972352.000000
63 376.568635 95.247047 0.015873 56906534904.194740 397278.000000 8.273012 3645.000000 3645.000000 396.862697 500094.000000 1144561273430837433478691160064.000000 270582939648.000000
64 384.000000 96.000000 0.015625 68719476736.000000 409984.000000 8.339726 3772.000000 3772.000000 400.000000 524288.000000 3433683820292512441173561835520.000000 274877906944.000000
65 391.453908 96.747093 0.015385 82800135377.910553 422890.000000 8.405931 3901.000000 3901.000000 403.112887 549250.000000 10301051460877537886470638927872.000000 279172874240.000000
66 398.930012 97.488461 0.015152 99549862361.286392 435996.000000 8.471638 4032.000000 4032.000000 406.201920 574992.000000 30903154382632611407612103098368.000000 283467841536.000000
67 406.427976 98.224233 0.014925 119435277138.105331 449302.000000 8.536860 4165.000000 4165.000000 409.267639 601526.000000 92709463147897834222836309295104.000000 287762808832.000000
68 413.947473 98.954535 0.014706 142997983202.671326 462808.000000 8.601606 4300.000000 4300.000000 412.310563 628864.000000 278128389443693520682907437367296.000000 292057776128.000000
69 421.488188 99.679486 0.014493 170865602807.570282 476514.000000 8.665887 4437.000000 4437.000000 415.331193 657018.000000 834385168331080489991128274173952.000000 296352743424.000000
70 429.049811 100.399203 0.014286 203764292666.717010 490420.000000 8.729714 4576.000000 4576.000000 418.330013 686000.000000 2503155504993241614088572898377728.000000 300647710720.000000
71 436.632045 101.113797 0.014085 242532921095.686401 504526.000000 8.793095 4717.000000 4717.000000 421.307489 715822.000000 7509466514979724842265718695133184.000000 304942678016.000000
